z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.0260000000e+00        0.022445000000000007        0.67        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3       s8 
7.0355977186e-06 4.9165790819e+01 4.8859275069e-01
7.5206098700e-06 5.2415130335e+01 4.8859275069e-01
8.0390564108e-06 5.5879209925e+01 4.8859275069e-01
8.5932442744e-06 5.9572233270e+01 4.8859275069e-01
9.1856354629e-06 6.3509315929e+01 4.8859275069e-01
9.8188638731e-06 6.7706586449e+01 4.8859275069e-01
1.0495745300e-05 7.2181240914e+01 4.8859275069e-01
1.1219289263e-05 7.6951608695e+01 4.8859275069e-01
1.1992711734e-05 8.2037223219e+01 4.8859275069e-01
1.2819450603e-05 8.7458909492e+01 4.8859275069e-01
1.3703183868e-05 9.3238887838e+01 4.8859275069e-01
1.4647837816e-05 9.9400811090e+01 4.8859275069e-01
1.5657613403e-05 1.0596991941e+02 4.8859275069e-01
1.6736999896e-05 1.1297311019e+02 4.8859275069e-01
1.7890795789e-05 1.2043905384e+02 4.8859275069e-01
1.9124130631e-05 1.2839831362e+02 4.8859275069e-01
2.0442488676e-05 1.3688347520e+02 4.8859275069e-01
2.1851728889e-05 1.4592925081e+02 4.8859275069e-01
2.3358117687e-05 1.5557266294e+02 4.8859275069e-01
2.4968352591e-05 1.6585316706e+02 4.8859275069e-01
2.6689593142e-05 1.7681281838e+02 4.8859275069e-01
2.8529490010e-05 1.8849642407e+02 4.8859275069e-01
3.0496221370e-05 2.0095173877e+02 4.8859275069e-01
3.2598534744e-05 2.1422969081e+02 4.8859275069e-01
3.4845776099e-05 2.2838452409e+02 4.8859275069e-01
3.7247933506e-05 2.4347402824e+02 4.8859275069e-01
3.9815688069e-05 2.5955980957e+02 4.8859275069e-01
4.2560455768e-05 2.7670749979e+02 4.8859275069e-01
4.5494442020e-05 2.9498703916e+02 4.8859275069e-01
4.8630685342e-05 3.1447288573e+02 4.8859275069e-01
5.1983130106e-05 3.3524439927e+02 4.8859275069e-01
5.5566681112e-05 3.5738610454e+02 4.8859275069e-01
5.9397272707e-05 3.8098803721e+02 4.8859275069e-01
6.3491934270e-05 4.0614605889e+02 4.8859275069e-01
6.7868866609e-05 4.3296223068e+02 4.8859275069e-01
7.2547532909e-05 4.6154526579e+02 4.8859275069e-01
7.7548735135e-05 4.9201088260e+02 4.8859275069e-01
8.2894701336e-05 5.2448221416e+02 4.8859275069e-01
8.8609194791e-05 5.5909033932e+02 4.8859275069e-01
9.4717637694e-05 5.9597488894e+02 4.8859275069e-01
1.0124716937e-04 6.3528424502e+02 4.8859275069e-01
1.0822682816e-04 6.7717647538e+02 4.8859275069e-01
1.1568764603e-04 7.2181972849e+02 4.8859275069e-01
1.2366278679e-04 7.6939288084e+02 4.8859275069e-01
1.3218770619e-04 8.2008630279e+02 4.8859275069e-01
1.4130031923e-04 8.7410265513e+02 4.8859275069e-01
1.5104110935e-04 9.3165733019e+02 4.8859275069e-01
1.6145341215e-04 9.9297991488e+02 4.8859275069e-01
1.7258350272e-04 1.0583144780e+03 4.8859275069e-01
1.8448085757e-04 1.1279208750e+03 4.8859275069e-01
1.9719838747e-04 1.2020758595e+03 4.8859275069e-01
2.1079262660e-04 1.2810739191e+03 4.8859275069e-01
2.2532400908e-04 1.3652285947e+03 4.8859275069e-01
2.4085713085e-04 1.4548736812e+03 4.8859275069e-01
2.5746106985e-04 1.5503647251e+03 4.8859275069e-01
2.7520960430e-04 1.6520798876e+03 4.8859275069e-01
2.9418169288e-04 1.7604222573e+03 4.8859275069e-01
3.1446164940e-04 1.8758203445e+03 4.8859275069e-01
3.3613966662e-04 1.9987304981e+03 4.8859275069e-01
3.5931204911e-04 2.1296375785e+03 4.8859275069e-01
3.8408191176e-04 2.2690581671e+03 4.8859275069e-01
4.1055929614e-04 2.4175403713e+03 4.8859275069e-01
4.3886195635e-04 2.5756672723e+03 4.8859275069e-01
4.6911570826e-04 2.7440577569e+03 4.8859275069e-01
5.0145509886e-04 2.9233689631e+03 4.8859275069e-01
5.3602381376e-04 3.1142970551e+03 4.8859275069e-01
5.7297560852e-04 3.3175806465e+03 4.8859275069e-01
6.1247474514e-04 3.5340011765e+03 4.8859275069e-01
6.5469677793e-04 3.7643848561e+03 4.8859275069e-01
6.9982954301e-04 4.0096052695e+03 4.8859275069e-01
7.4807356577e-04 4.2705822643e+03 4.8859275069e-01
7.9964339966e-04 4.5482852486e+03 4.8859275069e-01
8.5476832464e-04 4.8437321887e+03 4.8859275069e-01
9.1369333677e-04 5.1579891973e+03 4.8859275069e-01
9.7668042872e-04 5.4921704404e+03 4.8859275069e-01
1.0440096958e-03 5.8474355837e+03 4.8859275069e-01
1.1159804417e-03 6.2249853946e+03 4.8859275069e-01
1.1929126922e-03 6.6260572257e+03 4.8859275069e-01
1.2751482427e-03 7.0519153193e+03 4.8859275069e-01
1.3630529866e-03 7.5038444782e+03 4.8859275069e-01
1.4570176136e-03 7.9831314057e+03 4.8859275069e-01
1.5574598219e-03 8.4910494428e+03 4.8859275069e-01
1.6648261808e-03 9.0288364552e+03 4.8859275069e-01
1.7795939930e-03 9.5976673223e+03 4.8859275069e-01
1.9022736233e-03 1.0198623188e+04 4.8859275069e-01
2.0334103610e-03 1.0832653076e+04 4.8859275069e-01
2.1735872142e-03 1.1500535499e+04 4.8859275069e-01
2.3234274704e-03 1.2202835590e+04 4.8859275069e-01
2.4835972581e-03 1.2939860979e+04 4.8859275069e-01
2.6548085734e-03 1.3711621080e+04 4.8859275069e-01
2.8378227726e-03 1.4517792343e+04 4.8859275069e-01
3.0334533658e-03 1.5357686871e+04 4.8859275069e-01
